identifier,date,value
3b2f23dc,2006-12-08,44.7488686406354
3b2f23dc,2007-01-08,42.7904065348064
3b2f23dc,2007-02-08,45.2956910346601
3b2f23dc,2007-03-08,41.3367232406372
3b2f23dc,2007-04-08,41.0759780279139
3b2f23dc,2007-05-08,40.5993684021585
3b2f23dc,2007-06-08,43.3132425575854
3b2f23dc,2007-07-08,43.3292812739315
3b2f23dc,2007-08-08,41.1756842638704
3b2f23dc,2007-09-08,41.8691141920284
3b2f23dc,2007-10-08,42.1510446396057
3b2f23dc,2007-11-08,40.9316774384833
3b2f23dc,2007-12-08,42.0306521214178
3b2f23dc,2008-01-08,42.3938868706263
3b2f23dc,2008-02-08,44.8430725467283
3b2f23dc,2008-03-08,42.7176318480135
3b2f23dc,2008-04-08,44.6095387933321
3b2f23dc,2008-05-08,41.9867585988293
3b2f23dc,2008-06-08,44.1081595310217
3b2f23dc,2008-07-08,44.2269244956693
3b2f23dc,2008-08-08,40.7093416804894
3b2f23dc,2008-09-08,42.7124024886952
3b2f23dc,2008-10-08,45.6364522465699
3b2f23dc,2008-11-08,41.6301477843414
3b2f23dc,2008-12-08,42.802756853953
3b2f23dc,2009-01-08,45.948988699187
3b2f23dc,2009-02-08,40.7771971995848
3b2f23dc,2009-03-08,43.7504462344313
3b2f23dc,2009-04-08,42.5556632079323
3b2f23dc,2009-05-08,43.7702454703368
3b2f23dc,2009-06-08,46.1990728747584
3b2f23dc,2009-07-08,40.8408633764341
3b2f23dc,2009-08-08,46.1574620293748
3b2f23dc,2009-09-08,45.0310954372849
3b2f23dc,2009-10-08,41.7743966441252
3b2f23dc,2009-11-08,40.7697715851551
3b2f23dc,2009-12-08,45.227273863675
3b2f23dc,2010-01-08,44.6844492259423
3b2f23dc,2010-02-08,43.6958628833183
3b2f23dc,2010-03-08,45.9997681545992
3b2f23dc,2010-04-08,46.1503734422023
3b2f23dc,2010-05-08,45.4437175499778
3b2f23dc,2010-06-08,40.4677771209489
3b2f23dc,2010-07-08,41.7173570914865
3b2f23dc,2010-08-08,41.3739359484705
3b2f23dc,2010-09-08,44.907659694731
3b2f23dc,2010-10-08,44.0317989637317
3b2f23dc,2010-11-08,45.5802847660343
3b2f23dc,2010-12-08,40.4307498214267
3b2f23dc,2011-01-08,41.6762900226198
3b2f23dc,2011-02-08,43.34354078957
3b2f23dc,2011-03-08,40.7369015261477
3b2f23dc,2011-04-08,43.9855025355467
3b2f23dc,2011-05-08,42.5163245668285
3b2f23dc,2011-06-08,41.9638593347208
3b2f23dc,2011-07-08,46.3850694137314
3b2f23dc,2011-08-08,42.0016447938819
3b2f23dc,2011-09-08,42.3378665585372
3b2f23dc,2011-10-08,43.6718471760291
3b2f23dc,2011-11-08,44.1541180260459
3b2f23dc,2011-12-08,45.7049220531057
3b2f23dc,2012-01-08,43.4072515786539
3b2f23dc,2012-02-08,44.5917914295338
3b2f23dc,2012-03-08,45.3987156131691
3b2f23dc,2012-04-08,41.9746785438052
3b2f23dc,2012-05-08,45.9629980978907
3b2f23dc,2012-06-08,45.7652972225559
3b2f23dc,2012-07-08,40.7382839381688
3b2f23dc,2012-08-08,44.1837788516993
3b2f23dc,2012-09-08,42.9974916365628
3b2f23dc,2012-10-08,46.3348621169996
3b2f23dc,2012-11-08,43.8704838217681
3b2f23dc,2012-12-08,41.977540714407
3b2f23dc,2013-01-08,46.3994492621802
3b2f23dc,2013-02-08,45.1846509374862
3b2f23dc,2013-03-08,42.9482866871092
3b2f23dc,2013-04-08,44.8434404847776
3b2f23dc,2013-05-08,42.7527814290843
3b2f23dc,2013-06-08,42.0649029810099
3b2f23dc,2013-07-08,44.8710003304359
3b2f23dc,2013-08-08,44.0258814787579
3b2f23dc,2013-09-08,45.0052537976337
3b2f23dc,2013-10-08,45.2047118836375
3b2f23dc,2013-11-08,41.547715542171
3b2f23dc,2013-12-08,41.0579098923286
3b2f23dc,2014-01-08,40.7049027462247
3b2f23dc,2014-02-08,41.4691164865909
3b2f23dc,2014-03-08,42.6563647104422
3b2f23dc,2014-04-08,42.6395793318157
3b2f23dc,2014-05-08,44.7377736868517
3b2f23dc,2014-06-08,46.4072927635419
3b2f23dc,2014-07-08,41.8808329127878
3b2f23dc,2014-08-08,41.6813567961942
3b2f23dc,2014-09-08,44.5354157209422
3b2f23dc,2014-10-08,40.8158800538233
3b2f23dc,2014-11-08,43.252845364231
3b2f23dc,2014-12-08,44.0347453466992
3b2f23dc,2015-01-08,46.177987303433
3b2f23dc,2015-02-08,43.5879393266314
3b2f23dc,2015-03-08,41.754855726265
3b2f23dc,2015-04-08,42.7118104678622
3b2f23dc,2015-05-08,43.4591329714975
3b2f23dc,2015-06-08,45.2221495722647
3b2f23dc,2015-07-08,44.2861612065009
3b2f23dc,2015-08-08,43.3949137643663
3b2f23dc,2015-09-08,43.9431320376174
3b2f23dc,2015-10-08,40.7707794214766
3b2f23dc,2015-11-08,41.7746857770103
3b2f23dc,2015-12-08,46.2927234909333
3b2f23dc,2016-01-08,42.4324924267182
3b2f23dc,2016-02-08,46.2424961345
3b2f23dc,2016-03-08,43.8549364975577
3b2f23dc,2016-04-08,40.9740777522183
3b2f23dc,2016-05-08,44.9835395460039
3b2f23dc,2016-06-08,44.9994620667825
3b2f23dc,2016-07-08,41.6287976687786
3b2f23dc,2016-08-08,45.2852523164603
3b2f23dc,2016-09-08,46.0653885776051
3b2f23dc,2016-10-08,43.8819724062746
3b2f23dc,2016-11-08,41.4611631761425
3b2f23dc,2016-12-08,44.3394937923233
5cda0b01,2006-12-08,47.2382659828953
5cda0b01,2007-01-08,43.385781969891
5cda0b01,2007-02-08,44.8915941866201
5cda0b01,2007-03-08,43.9133757139843
5cda0b01,2007-04-08,47.1463513686581
5cda0b01,2007-05-08,44.5957639565707
5cda0b01,2007-06-08,47.2112659368529
5cda0b01,2007-07-08,42.2702541298877
5cda0b01,2007-08-08,46.9864001135817
5cda0b01,2007-09-08,44.0999918141918
5cda0b01,2007-10-08,47.2604112778521
5cda0b01,2007-11-08,44.7315350895543
5cda0b01,2007-12-08,47.1979990810012
5cda0b01,2008-01-08,44.6503306881434
5cda0b01,2008-02-08,45.112183456341
5cda0b01,2008-03-08,42.3424363720375
5cda0b01,2008-04-08,44.4733127441737
5cda0b01,2008-05-08,47.2135785691853
5cda0b01,2008-06-08,42.1134067029827
5cda0b01,2008-07-08,48.0476854376643
5cda0b01,2008-08-08,47.8047476091599
5cda0b01,2008-09-08,46.8564770048596
5cda0b01,2008-10-08,46.5314618808057
5cda0b01,2008-11-08,42.7981139983896
5cda0b01,2008-12-08,45.6361966371424
